ID,Start time,Completion time,Email,Name,What is your mobile phone brand?,What is the name of your mobile phone model?,Please enter the price of your phone(in USD),How satisfied are you about your phone?,"If you could have a phone of any brand you want, which brand would it be?",What is the name of the your preferred phone model?,What is the price of your preferred phone model?,What factors are important to you whilst purchasing your phone?,The amount of time you spend on your cell phone each day is approximately:
1,4/28/21 11:21:47,4/28/21 11:22:58,anonymous,,Apple,iPhone XR,,Very satisfied,Apple,iPhone pro,,Pricing;Operating system;Brand;Screen size;,3-4 hours
2,4/28/21 11:24:03,4/28/21 11:35:58,anonymous,,Apple,12,,Somewhat satisfied,Apple,12pm,1299,Screen resolution;Screen refresh rate;Operating system;Storage;Pricing;,2-3 hours
3,4/28/21 11:36:03,4/28/21 11:37:41,anonymous,,nokia,idn,5,Very satisfied,8848,8848太监手机,188888,Brand;Screen size;,>9 hours
4,4/28/21 11:37:46,4/28/21 11:39:15,anonymous,,Apple,iPhone 11 promax,,Somewhat satisfied,Apple,12 pro,,Memory;Pricing;Storage;Operating system;Brand;Screen size;Battery;,5-6 hours
5,4/28/21 11:39:32,4/28/21 11:41:39,anonymous,,8848 titanium,the most expensive one (standard cell for every successful man),998000000,Very satisfied,8848 vibranium,the most expensive one of the most expensive ones,"99,998,800,000",Pricing;Brand;,>9 hours
6,4/28/21 11:41:43,4/28/21 11:44:18,anonymous,,Apple,iPhone 12,799,Very satisfied,Apple,iPhone 12 Pro Max,1099,Memory;Storage;Brand;Screen size;Battery;,>9 hours
7,4/28/21 11:43:43,4/28/21 11:46:13,anonymous,,india phone,123456789,10000,Very dissatisfied,Ukraine phone,123,20000,"Battery;Screen size;Screen refresh rate;Memory;Pricing;Storage;Operating system;Brand;Publicity
;Screen resolution;",0-1 hours
8,4/28/21 11:44:03,4/28/21 11:46:21,anonymous,,Apple,iPhone X,483,Somewhat satisfied,Apple,iPhone 12 Pro ,1399,Pricing;Storage;Brand;Operating system;,7-8 hours
9,4/28/21 12:05:13,4/28/21 12:06:50,anonymous,,Google,Google pixel 4a,349,Very satisfied,Google,Pixel 5,699,Memory;Pricing;Storage;Operating system;Screen refresh rate;Screen resolution;Screen size;Battery;,6-7 hours
10,4/28/21 12:14:57,4/28/21 12:15:52,anonymous,,Apple,iphone xr,650,Very satisfied,Apple,iphone 13,900,Pricing;Storage;Brand;Battery;,7-8 hours
11,4/28/21 12:16:28,4/28/21 12:19:29,anonymous,,Samsung,Galaxy 4,600,Somewhat satisfied,Samsung,i'm not picky,200,Pricing;Battery;,0-1 hours
12,4/28/21 12:20:22,4/28/21 12:21:54,anonymous,,Google,Pixel 3a,399,Very satisfied,Google,Undecided,,Pricing;Operating system;Brand;Battery;,1-2 hours
13,4/28/21 12:57:42,4/28/21 13:00:11,anonymous,,One Plus,3t,399,Very satisfied,Google,Pixel 5,699,Pricing;Storage;Operating system;Battery;Screen size;Screen resolution;,3-4 hours
14,4/28/21 12:59:48,4/28/21 13:01:06,anonymous,,Apple,IPhone XS plus,1200,Very satisfied,Apple,iPhone XS plus,1200.00,Battery;Screen resolution;Screen refresh rate;Operating system;,>9 hours
15,4/28/21 13:02:31,4/28/21 13:04:11,anonymous,,Apple,iPhone 11 Pro Max,1099,Very satisfied,Apple,iPhone 11 Pro Max,1099,Memory;Operating system;Screen size;Battery;,5-6 hours
16,4/28/21 13:09:47,4/28/21 13:11:49,anonymous,,Samsung,galaxy note,900,Very satisfied,Samsung,Galaxy note,"since it's not listed below, the MOST important feature for my phone is the S-pen",Operating system;Screen resolution;Screen refresh rate;Screen size;,0-1 hours
17,4/28/21 14:07:51,4/28/21 14:08:57,anonymous,,fairphone,fairphone 3,499,Very satisfied,fairphone,fairphone,499,eco-friendliness;,3-4 hours
18,4/28/21 14:25:42,4/28/21 14:28:56,anonymous,,I do not use a cellphone ,I do not use a cellphone,20,Very satisfied,V-Tech ,any V-Tech ,20,Pricing;That it not be a cellphone ;,0-1 hours
